Name, Version, License
Jinja2, 3.1.4, BSD License
MarkupSafe, 2.1.5, BSD License
PyYAML, 6.0.2, MIT License
brevitas, 0.10.2, UNKNOWN
certifi, 2024.8.30, Mozilla Public License 2.0 (MPL 2.0)
charset-normalizer, 3.3.2, MIT License
coloredlogs, 15.0.1, MIT License
concrete-python, 2.8.1, BSD-3-Clause
dependencies, 2.0.1, BSD License
dill, 0.3.8, BSD License
filelock, 3.16.1, The Unlicense (Unlicense)
flatbuffers, 2.0.7, Apache Software License
fsspec, 2024.9.0, BSD License
huggingface-hub, 0.25.1, Apache Software License
humanfriendly, 10.0, MIT License
hummingbird-ml, 0.4.11, MIT License
idna, 3.10, BSD License
importlib_resources, 6.4.5, Apache Software License
joblib, 1.4.2, BSD License
jsonpickle, 3.3.0, BSD License
mpmath, 1.3.0, BSD License
networkx, 3.1, BSD License
numpy, 1.23.5, BSD License
onnx, 1.16.1, Apache License v2.0
onnxconverter-common, 1.13.0, MIT License
onnxmltools, 1.12.0, Apache Software License
onnxoptimizer, 0.3.13, Apache License v2.0
onnxruntime, 1.18.0, MIT License
packaging, 24.1, Apache Software License; BSD License
pandas, 2.0.3, BSD License
protobuf, 4.25.5, 3-Clause BSD License
psutil, 5.9.8, BSD License
python-dateutil, 2.9.0.post0, Apache Software License; BSD License
pytz, 2024.2, MIT License
requests, 2.32.3, Apache Software License
scikit-learn, 1.1.3, BSD License
scipy, 1.10.1, BSD License
six, 1.16.0, MIT License
skl2onnx, 1.17.0, Apache Software License
skops, 0.5.0, MIT
skorch, 0.11.0, new BSD 3-Clause
sympy, 1.13.3, BSD License
tabulate, 0.8.10, MIT License
threadpoolctl, 3.5.0, BSD License
torch, 2.2.2, BSD License
tqdm, 4.66.5, MIT License; Mozilla Public License 2.0 (MPL 2.0)
typing_extensions, 4.12.2, Python Software Foundation License
tzdata, 2024.2, Apache Software License
unfoldNd, 0.2.2, MIT License
urllib3, 2.2.3, MIT License
xgboost, 1.6.2, Apache Software License
z3-solver, 4.13.0.0, MIT License
